call_date,from_country,from_number,from_operator,to_number,to_country,to_extension,to_operator,call_duration,call_charge,is_fraud
2016-03-19 15:24:47.980302,Romania,+8808572525647,Vodafone,+12134842641,United States,,Verizon Wireless,1.329853868191936,7.354268345080389,True
2016-03-12 15:24:47.980302,Romania,+8808572525637,Vodafone,+12134842641,United States,,Verizon Wireless,19.24874516577117,2.88723767616839,True
2016-03-29 15:24:47.980302,Romania,+8808572525611,Vodafone,+12134842641,United States,,Verizon Wireless,8.30461005425372,14.302344205648472,True
2016-03-08 15:24:47.980302,Romania,+8808572525670,Vodafone,+12134842641,United States,,Verizon Wireless,33.661025133933805,9.993451819679507,True
2016-03-31 15:24:47.980302,Romania,+8808572525657,Vodafone,+12134842641,United States,,Verizon Wireless,67.398163121659,3.603072479994834,True
2016-03-31 15:24:47.980302,Romania,+8808572525643,Vodafone,+12134842641,United States,x7659094,Verizon Wireless,43.077802593561415,4.108892361531976,True
2016-03-18 15:24:47.980302,Romania,+8808572525666,Vodafone,+12134842641,United States,x6283763,Verizon Wireless,9.180944608114528,1.2502818799595157,True
2016-03-13 15:24:47.980302,Romania,+8808572525621,Vodafone,+12134842641,United States,x1062621,Verizon Wireless,11.063858911403818,0.4512184916224301,True
2016-03-08 15:24:47.980302,Romania,+8808572525635,Vodafone,+12134842641,United States,x3501131,Verizon Wireless,0.5917505630677429,6.811356437967074,True
2016-03-14 15:24:47.980302,Romania,+8808572525668,Vodafone,+12134842641,United States,,Verizon Wireless,14.514179070914787,9.876036740828662,True
2016-03-20 15:24:47.980302,Romania,+8808572525665,Vodafone,+12134842641,United States,,Verizon Wireless,33.50278347423202,9.307473686662643,True
2016-03-14 15:24:47.980302,Romania,+8808572525654,Vodafone,+12134842641,United States,,Verizon Wireless,16.314590211184125,6.947182506789732,True
2016-03-08 15:24:47.980302,Romania,+8808572525646,Vodafone,+12134842641,United States,,Verizon Wireless,38.566159735654395,3.4758135093045137,True
2016-03-31 15:24:47.980302,Romania,+8808572525620,Vodafone,+12134842641,United States,,Verizon Wireless,6.966092700253652,9.42215519872782,True
2016-03-11 15:24:47.980302,Romania,+8808572525667,Vodafone,+12134842641,United States,,Verizon Wireless,18.70547308753678,30.624147044175572,True
2016-03-10 15:24:47.980302,Romania,+8808572525611,Vodafone,+12134842641,United States,,Verizon Wireless,0.5561748385362336,5.053068260609176,True
2016-03-21 15:24:47.980302,Romania,+8808572525665,Vodafone,+12134842641,United States,,Verizon Wireless,24.90506750283975,0.6159337641607752,True
2016-03-27 15:24:47.980302,Romania,+8808572525659,Vodafone,+12134842641,United States,,Verizon Wireless,18.850157090373692,2.285434597143645,True
2016-03-18 15:24:47.980302,Romania,+8808572525636,Vodafone,+12134842641,United States,,Verizon Wireless,26.410188665894605,1.7223193296870623,True
2016-03-12 15:24:47.980302,Romania,+8808572525627,Vodafone,+12134842641,United States,,Verizon Wireless,38.108931244895366,3.687086231210579,True
2016-03-26 15:24:47.980302,Romania,+8808572525619,Vodafone,+12134842641,United States,,Verizon Wireless,3.7771373998085114,21.4150326305501,True
2016-03-09 15:24:47.980302,Romania,+8808572525649,Vodafone,+12134842641,United States,,Verizon Wireless,7.025580748937741,4.560348089621242,True
2016-03-15 15:24:47.980302,Romania,+8808572525619,Vodafone,+12134842641,United States,,Verizon Wireless,14.730314511602144,0.7719364132639827,True
2016-03-25 15:24:47.980302,Romania,+8808572525626,Vodafone,+12134842641,United States,,Verizon Wireless,11.575799820120196,1.1300962027900214,True
2016-03-25 15:24:47.980302,Romania,+8808572525622,Vodafone,+12134842641,United States,,Verizon Wireless,1.5344523804338417,0.39136560923692676,True
2016-03-21 15:24:47.980302,Romania,+8808572525649,Vodafone,+12134842641,United States,,Verizon Wireless,11.407209441280635,15.23127681626826,True
2016-03-09 15:24:47.980302,Romania,+8808572525621,Vodafone,+12134842641,United States,,Verizon Wireless,19.757957065588492,0.1284972296977423,True
2016-03-26 15:24:47.980302,Romania,+8808572525642,Vodafone,+12134842641,United States,,Verizon Wireless,17.25383347306018,13.076798888245655,True
2016-03-17 15:24:47.980302,Romania,+8808572525614,Vodafone,+12134842641,United States,x4630846,Verizon Wireless,1.5608925155752815,5.809518705743786,True
2016-03-26 15:24:47.980302,Romania,+8808572525669,Vodafone,+12134842641,United States,,Verizon Wireless,42.900434069669124,0.871626101803447,True
2016-03-20 15:24:47.980302,Romania,+8808572525638,Vodafone,+12134842641,United States,,Verizon Wireless,25.771157927152075,23.198406267252295,True
2016-03-29 15:24:47.980302,Romania,+8808572525613,Vodafone,+12134842641,United States,x7510630,Verizon Wireless,2.945413476963613,7.10602141069389,True
2016-03-27 15:24:47.980302,Romania,+8808572525632,Vodafone,+12134842641,United States,x7385361,Verizon Wireless,0.2502327603177773,7.2349122591237816,True
2016-03-14 15:24:47.980302,Romania,+8808572525617,Vodafone,+12134842641,United States,x4224838,Verizon Wireless,4.163226522726598,6.2337416609213525,True
2016-03-15 15:24:47.980302,Romania,+8808572525661,Vodafone,+12134842641,United States,,Verizon Wireless,5.530030368771648,11.942797706586363,True
2016-03-29 15:24:47.980302,Romania,+8808572525656,Vodafone,+12134842641,United States,,Verizon Wireless,1.8471883806986185,16.71837983890597,True
2016-03-03 15:24:47.980302,Romania,+8808572525639,Vodafone,+12134842641,United States,,Verizon Wireless,0.7050638376354958,9.398667076587287,True
